"V1","dec1"
"26547","N"
"26583","N"
"26599","Y"
"26634","N"
"26713","Y"
"26732","N"
"26773","N"
"26778","N"
"26858","Y"
"26997","N"
"27006","Y"
"27046","N"
"27091","Y"
"27219","N"
"27225","N"
"27245","N"
"27321","N"
"27442","Y"
"27455","N"
"27707","N"
"27724","N"
"27746","N"
"27747","N"
"27822","N"
"27883","Y"
"27918","N"
"27951","N"
"27986","N"
"27992","N"
"28073","N"
"28077","N"
"28175","N"
"28177","N"
"28197","N"
"28271","N"
"28282","N"
"28340","Y"
"28384","N"
"28617","N"
"28626","N"
"28697","Y"
"28803","N"
"28899","N"
"28947","N"
"29038","N"
"29048","N"
"29115","N"
"29158","N"
"29173","N"
"29202","N"
"29251","N"
"29376","N"
"29391","Y"
"29397","N"
"29497","N"
"29679","N"
"29691","N"
"29817","N"
"29843","N"
"29870","Y"
"29889","Y"
"29905","N"
"29917","N"
"29958","N"
"29967","Y"
"29994","Y"
"30012","N"
"30019","N"
"30062","N"
"30073","N"
"30084","Y"
"30098","N"
"30126","N"
"30345","Y"
"30355","N"
"30363","N"
"30377","N"
"30380","Y"
"30465","N"
"30477","Y"
"30478","Y"
"30554","N"
"30610","N"
"30642","N"
"30801","N"
"30836","N"
"30905","N"
"30952","N"
"31003","N"
"31017","N"
"31085","N"
"31120","N"
"31132","N"
"31195","N"
"31240","N"
"31310","N"
"31364","N"
"31398","N"
"31418","N"
"31499","N"
"31517","N"
"31534","N"
"31807","Y"
"31932","N"
"31944","Y"
"31957","N"
"32058","N"
"32079","N"
"32207","N"
"32215","N"
"32256","Y"
"32282","N"
"32399","N"
"32411","N"
"32510","N"
"32572","N"
"32597","Y"
"32638","Y"
"32722","N"
"32746","N"
"32870","Y"
"32995","Y"
"33017","Y"
"33031","N"
"33154","Y"
"33242","Y"
"33248","Y"
"33259","Y"
"33303","N"
"33315","N"
"33395","Y"
"33422","N"
"33511","N"
"33519","N"
"33551","N"
"33566","N"
"33616","N"
"33662","N"
"33875","N"
"33903","N"
"34029","N"
"34172","N"
"34213","Y"
"34229","N"
"34260","N"
"34272","N"
"34286","N"
"34288","N"
"34316","N"
"34472","N"
"34504","N"
"34525","N"
"34530","Y"
"34551","N"
"34581","N"
"34614","N"
"34619","Y"
"34655","Y"
"34760","N"
"34767","Y"
"34801","N"
"34832","N"
"35035","N"
"35036","N"
"35101","Y"
"35466","N"
"35615","N"
"35641","Y"
"35653","N"
"35685","N"
"35698","N"
"35746","N"
"35798","N"
"35845","N"
"35904","Y"
"35924","Y"
"35966","N"
"35968","Y"
"36024","N"
"36111","N"
"36188","N"
"36269","N"
"36283","N"
"36289","N"
"36357","N"
"36371","Y"
"36419","N"
"36462","Y"
"36515","N"
"36534","Y"
"36550","N"
"36556","Y"
"36568","N"
"36582","N"
"36596","N"
"36729","Y"
"36904","N"
"36915","N"
"36988","N"
"37089","N"
"37152","N"
"37162","N"
"37203","N"
"37276","N"
"37298","N"
"37364","N"
"37432","N"
"37433","N"
"37473","N"
"37489","Y"
"37542","N"
"37583","N"
"37603","Y"
"37684","N"
"37776","Y"
"37843","N"
"37952","N"
"37960","N"
"37961","N"
"38112","Y"
"38115","N"
"38170","N"
"38174","N"
"38189","N"
"38194","N"
"38200","N"
"38290","Y"
"38329","N"
"38341","N"
"38431","N"
"38506","N"
"38548","N"
"38572","Y"
"38575","Y"
"38713","N"
"38902","N"
"38967","Y"
"38995","Y"
"39068","Y"
"39223","N"
"39274","Y"
"39306","N"
"39310","Y"
"39319","Y"
"39328","N"
"39495","N"
"39508","Y"
"39545","N"
"39576","N"
"39579","N"
"39731","Y"
"39782","N"
"39785","Y"
"39807","N"
"39846","N"
"39901","N"
"39915","N"
"39986","N"
"40041","N"
"40060","N"
"40121","N"
"40150","N"
"40160","N"
"40210","N"
"40242","Y"
"40281","N"
"40324","N"
"40329","N"
"40336","N"
"40399","N"
"40418","N"
"40462","N"
"40523","N"
"40594","N"
"40638","N"
"40711","N"
"40720","N"
"40740","N"
"40780","N"
"40828","N"
"40831","N"
"40871","N"
"40936","Y"
"40940","N"
"40946","N"
"40963","Y"
"40994","N"
"40997","N"
"41014","N"
"41021","N"
"41071","N"
"41075","N"
"41134","N"
"41185","N"
"41198","Y"
"41264","Y"
"41270","N"
"41358","N"
"41508","Y"
"41594","N"
"41616","Y"
"41695","N"
"41751","Y"
"41760","N"
"41764","N"
"41779","Y"
"41790","N"
"41931","N"
"41962","N"
"42098","N"
"42124","N"
"42131","N"
"42155","N"
"42206","Y"
"42208","N"
"42219","N"
"42337","Y"
"42367","N"
"42382","N"
"42448","N"
"42509","Y"
"42514","N"
"42546","Y"
"42575","N"
"42594","Y"
"42647","Y"
"42810","N"
"42847","N"
"42994","N"
"43081","Y"
"43111","N"
"43127","N"
"43146","Y"
"43161","N"
"43273","N"
"43278","Y"
"43382","N"
"43444","Y"
"43476","Y"
"43580","N"
"43601","Y"
"43700","N"
"43854","N"
"43920","N"
"43970","Y"
"43973","N"
"44076","N"
"44148","N"
"44213","N"
"44238","Y"
"44282","N"
"44322","N"
"44370","N"
"44450","N"
"44466","Y"
"44484","N"
"44544","N"
"44617","Y"
"44621","N"
"44622","N"
"44623","N"
"44686","N"
"44781","N"
"44784","Y"
"44916","N"
"44952","N"
"44962","N"
"44975","N"
"44989","N"
"45035","Y"
"45039","N"
"45075","N"
"45087","N"
"45091","N"
"45156","N"
"45168","N"
"45169","Y"
"45217","N"
"45224","N"
"45238","N"
"45248","N"
"45277","N"
"45357","N"
"45372","Y"
"45386","N"
"45426","Y"
"45444","N"
"45543","N"
"45548","Y"
"45558","Y"
"45756","Y"
"45899","N"
"45910","N"
"45984","Y"
"46001","N"
"46069","N"
"46109","N"
"46121","N"
"46177","N"
"46241","N"
"46322","N"
"46460","N"
"46496","Y"
"46542","Y"
"46569","N"
"46582","N"
"46623","N"
"46687","N"
"46771","N"
"46783","Y"
"46794","N"
"46854","N"
"46921","N"
"47028","N"
"47073","N"
"47099","N"
"47213","Y"
"47232","N"
"47261","N"
"47281","Y"
"47288","Y"
"47442","Y"
"47523","N"
"47568","N"
"47652","N"
"47655","N"
"47658","N"
"47667","Y"
"47690","N"
"47853","N"
"47868","Y"
"48016","N"
"48022","N"
"48144","N"
"48147","N"
"48182","Y"
"48193","N"
"48311","N"
"48342","N"
"48391","N"
"48400","N"
"48414","N"
"48524","Y"
"48525","N"
"48565","Y"
"48582","N"
"48594","N"
"48648","N"
"48676","N"
"48678","Y"
"48711","N"
"48723","N"
"48771","N"
"48786","Y"
"48827","N"
"48924","N"
"48954","N"
"48978","N"
"49020","N"
"49057","N"
"49084","Y"
"49103","N"
"49178","N"
"49262","N"
"49266","N"
"49501","N"
"49564","N"
"49569","Y"
"49584","N"
"49596","N"
"49701","N"
"49709","Y"
"49739","N"
"49772","N"
"49785","N"
"49840","Y"
"49863","N"
"49893","N"
"49970","N"
"50018","N"
"50148","N"
"50202","Y"
"50210","N"
"50265","N"
"50275","Y"
"50346","Y"
"50350","N"
"50448","N"
"50475","N"
"50489","Y"
"50496","Y"
"50541","Y"
"50602","N"
