"","cat1","cat2","cat3","cat4","cat5","cat6","cat7","prodname","vendor","ASIN","price","weight_lb","dim1_in","dim2_in","dim3_in","rating"
"1109","Tools & Home Improvement","Lighting & Ceiling Fans","Wall Lights","Night Lights",NA,NA,NA,"Vont LED Night Light (Plug-in), Smart Dusk to Dawn Sensor, Automatic Night Lights, Suitable for Bedroom, Bathroom, Toilet,Stairs,Kitchen,Hallway,Kids,Adults,Compact Nightlight, Energy, Cool White (6)","Vont","B07NF4P12L",13.99,NA,NA,NA,NA,0.0818181818181818
"1110","Tools & Home Improvement","Lighting & Ceiling Fans","Wall Lights","Night Lights",NA,NA,NA,"VAVA VA-CL006 Night Lights for Kids with Stable Charging Pad, ABS+PC Bedside Lamp for Breastfeeding, Touch Control&Timer Setting, White","VAVA","B0785DT97B",22.35,NA,NA,NA,NA,0.0818181818181818
"1111","Tools & Home Improvement","Lighting & Ceiling Fans","Wall Lights","Night Lights",NA,NA,NA,"LED Nursery Night Lights for Kids: Baby Girl Gifts, Lumipets Cute Animal Silicone Baby Night Light with Touch Sensor - Portable and Rechargeable Color Changing Lamps for Bedrooms","Lumipets","B07QNMKLCP",21.99,NA,NA,NA,NA,0.0818181818181818
"1112","Baby Products","Safety","Electrical Safety",NA,NA,NA,NA,"Mommy's Helper - Outlet Plugs, (2 Packs Of 36 Count -72 Count)","Mommy's Helper","B010ECZKNA",7.48,NA,NA,NA,NA,0.0818181818181818
"1113","Baby Products","Safety","Electrical Safety",NA,NA,NA,NA,"Mommys Helper - Outlet Plugs, (108 Count) (3 Packs Of 36 Count)","Mommy's Helper","B010ECZM24",140.62,NA,NA,NA,NA,0.0818181818181818
"1114","Baby Products","Baby Care","Pacifiers, Teethers & Teething Relief","Pacifiers",NA,NA,NA,"Philips Avent Soothie Pacifier,Blue and Green, 0-3 Months, 4 count","Philips AVENT","B012E3WB5M",6.83,NA,NA,NA,NA,0.0818181818181818
"1115","Baby Products","Baby Care","Pacifiers, Teethers & Teething Relief","Pacifiers",NA,NA,NA,"Philips Avent BPA Free Soothie Pacifier, 0-3 Months, Green, Vanilla Scented, 2 Pack, SCF190/07","Philips AVENT","B0081ZOWG4",4.99,NA,NA,NA,NA,0.0818181818181818
"1116","Baby Products","Baby Care","Pacifiers, Teethers & Teething Relief","Pacifiers",NA,NA,NA,"Philips Avent Soothie Pacifier, Pink/Purple and Blue, 0-3 Months, 4 count","Philips AVENT","B015P0DUL0",6.38,NA,NA,NA,NA,0.0818181818181818
"1117","Baby Products","Baby Care","Pacifiers, Teethers & Teething Relief","Pacifiers",NA,NA,NA,"Philips AVENT Newborn Pacifier, 0-2 Months","Philips AVENT","B00PF841FW",32.99,NA,NA,NA,NA,0.0818181818181818
"1118","Baby Products","Baby Care","Pacifiers, Teethers & Teething Relief","Pacifiers",NA,NA,NA,"Philips AVENT BPA Free Fashion Infant Pacifier, 0-6 Months, 2 Pack, Colors May Vary","Philips AVENT","B005SASC9I",8.94,NA,NA,NA,NA,0.0818181818181818
